frame,time,mouse_id,behavior,node,x,y,z
0,0.0,0,0,head,235.52480943281174,174.15092269198442,27.938507457887763
0,0.0,0,0,nose_tip,226.11297130100246,182.94707188975667,16.132208760588984
0,0.0,0,0,left_ear_tip,229.2728368921251,162.5436776298696,35.72532060797125
0,0.0,0,0,right_ear_tip,246.19190081601573,179.3112325903171,34.56903332400277
0,0.0,0,0,tail_root,272.61759874519794,138.31422828781314,18.220707591936655
0,0.0,0,0,tail_tip,284.622016105571,126.27362243878439,9.74105925590369
0,0.0,0,0,left_front_paw,234.14752161383518,162.04230320665715,3.012869399076954
0,0.0,0,0,right_front_paw,247.8991331505691,176.44260684602895,2.2248176834041713
0,0.0,0,0,left_hind_paw,254.75772025161552,144.45430835423204,2.7158690179556633
0,0.0,0,0,right_hind_paw,264.5096705488093,154.79824847536,2.5786442474925466
1,0.1,0,0,head,228.88662872846976,177.88928819968598,27.434164407420226
1,0.1,0,0,nose_tip,218.68604634852122,186.0767017855079,15.72825129072369
1,0.1,0,0,left_ear_tip,223.00495281805394,165.97838749876553,34.88701224759212
1,0.1,0,0,right_ear_tip,239.32961360197794,183.7470704233149,33.66838176176793
1,0.1,0,0,tail_root,267.0982508149088,143.39141128467907,17.219090011904896
1,0.1,0,0,tail_tip,279.807338800764,132.1672136922872,9.493670002722617
1,0.1,0,0,left_front_paw,227.0427184024022,165.5210395150988,2.038035619908238
1,0.1,0,0,right_front_paw,241.14054685310003,180.44347800341393,0.925373038046833
1,0.1,0,0,left_hind_paw,248.5412202856087,148.83755672045228,2.463937124411063
1,0.1,0,0,right_hind_paw,258.36442526585364,159.66639414100695,1.5855636945440321
2,0.2,0,0,head,223.99689723024966,180.58946446179385,27.9848258138526
2,0.2,0,0,nose_tip,213.41319246112425,188.61702651211743,16.438851221921922
2,0.2,0,0,left_ear_tip,218.38365249280795,168.4159908496925,34.74537703477383
2,0.2,0,0,right_ear_tip,234.08528799574609,187.1185572888782,34.22055196339946
2,0.2,0,0,tail_root,263.86298729070404,148.45362024915607,16.47128165670754
2,0.2,0,0,tail_tip,278.0704260289451,137.26371693717545,8.846462623355407
2,0.2,0,0,left_front_paw,222.86971450661852,168.67475949116726,2.044458624075726
2,0.2,0,0,right_front_paw,235.4890390734761,184.39292880496356,1.267064148912975
2,0.2,0,0,left_hind_paw,244.58521366160278,153.52962689019282,2.7168904800885594
2,0.2,0,0,right_hind_paw,254.45433484838608,164.4919218840827,1.0820344619127047
3,0.3,0,0,head,217.416154793572,182.70043413577247,29.19406744603305
3,0.3,0,0,nose_tip,205.9866531107469,190.61807738685195,18.273510261934362
3,0.3,0,0,left_ear_tip,212.29776111685766,170.3081801395387,34.76022358821919
3,0.3,0,0,right_ear_tip,226.9748211902521,189.72033922120903,35.44074567547939
3,0.3,0,0,tail_root,259.13482483971643,153.35090091945307,16.83539483968843
3,0.3,0,0,tail_tip,274.28222220111695,142.3737578163362,8.462415353984072
3,0.3,0,0,left_front_paw,217.28164460841182,172.1757809593823,2.0478058798891396
3,0.3,0,0,right_front_paw,228.47019470912664,188.0770060073559,2.3855476126044444
3,0.3,0,0,left_hind_paw,239.6057663240457,157.63502567700905,2.941468489825456
3,0.3,0,0,right_hind_paw,248.81691637982303,169.29759698268933,1.299705542510789
4,0.4,0,0,head,210.94198970646568,184.9315588657997,27.798447697215966
4,0.4,0,0,nose_tip,199.6474282723214,193.00507227251805,16.509595470628344
4,0.4,0,0,left_ear_tip,205.77329338330603,172.30627383175363,32.86135962712074
4,0.4,0,0,right_ear_tip,219.8113079985885,192.19762078395698,34.404541618184844
4,0.4,0,0,tail_root,253.76573326668134,156.12036229537088,18.278927819894644
4,0.4,0,0,tail_tip,269.7297650269828,145.37596385125696,11.382729608582821
4,0.4,0,0,left_front_paw,212.02926594559548,174.84821535057642,0.606964482989814
4,0.4,0,0,right_front_paw,223.4538200898122,189.3696153571805,1.9316575937707983
4,0.4,0,0,left_hind_paw,234.79160390593273,160.10694443740778,2.3130110283791843
