frame,time,mouse_id,behavior,node,x,y,z
0,0.0,0,0,head,127.83606249147277,174.14797237139078,28.983827101677942
0,0.0,0,0,nose_tip,113.10470166500087,183.6989779049257,18.926150042402778
0,0.0,0,0,left_ear_tip,116.22651627178911,164.7862239942147,34.56476615779125
0,0.0,0,0,right_ear_tip,139.08757629931802,174.34932716833148,36.16045482070107
0,0.0,0,0,tail_root,151.28540796711488,128.98806134084657,17.257815948551073
0,0.0,0,0,tail_tip,,,
0,0.0,0,0,left_front_paw,118.9367582368041,165.06694005734897,3.065368992326189
0,0.0,0,0,right_front_paw,134.55364456287703,174.0165924038023,2.567850019777251
0,0.0,0,0,left_hind_paw,134.65073747529794,144.6117014365132,0.5293025383734027
0,0.0,0,0,right_hind_paw,151.98402755667064,149.18410684431652,1.5718266077315055
1,0.1,0,0,head,129.39871546422677,172.92237561251935,28.768463057493527
1,0.1,0,0,nose_tip,120.15792939879455,186.71312521414725,16.882468217689954
1,0.1,0,0,left_ear_tip,116.83098016705215,166.22263367171357,35.56558530827511
1,0.1,0,0,right_ear_tip,140.891813711875,175.22057229579823,36.54038001380662
1,0.1,0,0,tail_root,150.64958616087753,129.1449905140365,17.36309550738676
1,0.1,0,0,tail_tip,,,
1,0.1,0,0,left_front_paw,121.5436029762844,164.5522782071726,2.014944880655318
1,0.1,0,0,right_front_paw,140.0886611320485,174.4642565213624,0.9469496087770262
1,0.1,0,0,left_hind_paw,133.708790767895,143.9271016152623,1.2716274073098923
1,0.1,0,0,right_hind_paw,,,
2,0.2,0,0,head,128.07815981992644,174.4597229223182,28.33159157573594
2,0.2,0,0,nose_tip,124.20710762278682,183.70186590485898,40.96596084269785
2,0.2,0,0,left_ear_tip,115.81595679899482,167.1138244891257,35.234636675467165
2,0.2,0,0,right_ear_tip,140.9935055703321,178.8354103012038,45.15962853478763
2,0.2,0,0,tail_root,151.12377469151141,138.53646147142857,28.51250164183939
2,0.2,0,0,tail_tip,156.891245480277,136.17610186600777,19.124448572820924
2,0.2,0,0,left_front_paw,121.11763568741256,164.775578186873,2.2749573373216814
2,0.2,0,0,right_front_paw,140.0591273052009,174.82013766434324,1.3595325519924284
2,0.2,0,0,left_hind_paw,132.77957331397175,146.277919762191,0.7936798910658797
2,0.2,0,0,right_hind_paw,,,
3,0.3,0,0,head,125.46120765386205,178.49309842957803,27.70023228384862
3,0.3,0,0,nose_tip,119.13456732433893,190.40229475582828,16.404875364096224
3,0.3,0,0,left_ear_tip,113.98106834776718,168.0155836048596,34.33318986125951
3,0.3,0,0,right_ear_tip,136.285784621057,180.76675563465497,35.7641541972845
3,0.3,0,0,tail_root,147.40572920827128,132.61710246558758,17.902948665728886
3,0.3,0,0,tail_tip,154.2962905990586,116.84151975751539,14.006350291705848
3,0.3,0,0,left_front_paw,118.64191531169546,169.91654188586688,0.32289352939181554
3,0.3,0,0,right_front_paw,137.21673630850634,174.10233369039992,0.9895084829549682
3,0.3,0,0,left_hind_paw,131.5777035225476,145.44019004396446,0.5040508028364284
3,0.3,0,0,right_hind_paw,147.69042713695995,157.2911058429261,0.6728051349522997
4,0.4,0,0,head,127.29055959212995,177.77202793531492,38.704385996579504
